Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails;Хартл Майкл;ДМК-Пресс:;1 509;3 354;–55 %
Программирование и отладка С/С++ приложений для микроконтроллеров ARM;Магда Юрий Степанович;ДМК-Пресс:;582;1 294;–55 %
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ;Мэйерс Скотт;ДМК-Пресс:Профессиональная серия от Addison-Wesley;646;1 436;–55 %
Assembler. Для DOS, Windows и Unix;Зубков Сергей Владимирович;ДМК-Пресс:Для программистов;970;2 155;–55 %
Лямбда-выражения в Java 8. Функциональное программирование - в массы;Уорбэртон Ричард;ДМК-Пресс:Функциональное программирование;517;1 148;–55 %
Системная инженерия. Принципы и практика;Косяков;ДМК-Пресс:;1 552;3 449;–55 %
Оптимизация приложений на платформе .Net;Голдштейн;ДМК-Пресс:;1 044;2 321;–55 %
Интерфейс. Основы проектирования взаимодействия;Купер;Питер:Для профессионалов;2 076;2 662;–22 %
Аналоговые интерфейсы микроконтроллеров;Болл Стюарт Р.;Додека XXI век:Программируемые системы;696;1 547;–55 %
Практическое использование Vim. Редактируйте текст со скоростью мысли;Нейл Дрю;ДМК-Пресс:;1 164;2 587;–55 %
Анализ сетей (графов) в среде R. Руководство пользователя;Люк Дуглас А.;ДМК-Пресс:;1 359;3 019;–55 %
Основы проектирования в Autodesk Inventor 2016;Зиновьев Дмитрий Валериевич;ДМК-Пресс:;466;1 035;–55 %
Bootstrap в примерах;Морето Сильвио;ДМК-Пресс:;813;1 806;–55 %
Изучай Haskell во имя добра!;Липовача Миран;ДМК-Пресс:;1 164;2 587;–55 %
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD;Герман-Галкин Сергей Германович;Корона-Принт:Учебное пособие;332;737;–55 %
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD;Кравченко Алексей Владимирович;Корона-Принт:;293;650;–55 %
Вычислительная геометрия. Алгоритмы и приложения;Де;ДМК-Пресс:;1 393;3 095;–55 %
Разработка веб-приложений в ReactJS;Хортон;ДМК-Пресс:;813;1 806;–55 %
Введение в статистическое обучение с примерами на языке R;Джеймс;ДМК-Пресс:;1 741;3 869;–55 %
Современное программирование с нуля!;Потопахин Виталий Валерьевич;ДМК-Пресс:Учебное пособие;410;911;–55 %
Программирование на языке Lua;Иерузалимски Роберту;ДМК-Пресс:;1 099;2 443;–55 %
Android NDK. Руководство для начинающих;Ретабоуил Сильвен;ДМК-Пресс:;911;2 024;–55 %
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета;Митчелл Райан;ДМК-Пресс:;753;1 674;–55 %
PIC-микроконтроллеры: архитектура и программирование;Предко Майкл;ДМК-Пресс:;696;1 547;–55 %
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox;Типикин А. А.;Солон-пресс:;311;690;–55 %
Управление электронными устройствами на С++. Разработка практических приложений;Катупития;ДМК-Пресс:;813;1 806;–55 %
C# 6.0. Справочник. Полное описание языка;Албахари;Вильямс:;2 955;6 567;–55 %
LabVIEW: стиль программирования;Блюм Питер;ДМК-Пресс:LabVIEW;582;1 294;–55 %
Искусство автономного тестирования с примерами на С#;Ошероув Рой;ДМК-Пресс:;1 035;2 301;–55 %
Графовые базы данных. Новые возможности для работы;Робинсон;ДМК-Пресс:;970;2 155;–55 %
Руководство по микропроцессорному обеспечению;Информация не найдена;ДМК-Пресс:;813;1 806;–55 %
Чисто функциональные структуры данных;Окасаки Крис;ДМК-Пресс:;696;1 547;–55 %
Программирование компьютерного зрения на языке Python;Солем Ян Эрик;ДМК-Пресс:;929;2 064;–55 %
UML Проектирование систем реального времени, распределенных и параллельных приложений;Гома Хассан;ДМК-Пресс:;1 451;3 224;–55 %
Периферийные устройства: интерфейсы, схемотехника, программирование;Авдеев Вадим Александрович;ДМК-Пресс:Все о радиоэлектронике;1 044;2 321;–55 %
R в действии. Анализ и визуализация данных на языке R;Кабаков Роберт И.;ДМК-Пресс:;1 161;2 580;–55 %
Анализ больших наборов данных;Лесковец;ДМК-Пресс:;1 552;3 449;–55 %
Построение компиляторов;Вирт Никлаус;ДМК-Пресс:;580;1 289;–55 %
Современный PHP. Новые возможности и передовой опыт;Локхарт Джош;ДМК-Пресс:;753;1 674;–55 %
MATLAB. Теория и практика;Гилат Амос;ДМК-Пресс:;1 277;2 837;–55 %
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ;Уильямс Энтони;ДМК-Пресс:;1 552;3 449;–55 %
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода;Фаулер Мартин;Вильямс:;3 500;7 778;–55 %
Язык программирования Python: практикум. Учебное пособие;Жуков Роман Александрович;ИНФРА-М:Среднее профессиональное образование;957;2 126;–55 %
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов;Чио;ДМК-Пресс:;1 219;2 709;–55 %
Разработка интеллектуальных систем. Введение в технологию машинного обучения;Хултен Джефф;ДМК-Пресс:;1 044;2 321;–55 %
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань:Учебники для вузов. Специальная литература;871;1 936;–55 %
Экстремальное программирование. Разработка через тестирование;Бек Кент;Питер:Библиотека программиста;1 106;1 418;–22 %
Объектно-ориентированное программирование с примерами на C#. Учебное пособие;Хорев Павел Борисович;Форум:Среднее профессиональное образование;1 097;2 437;–55 %
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие;Информация не найдена;Солон-пресс:Библиотека студента;224;498;–55 %
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие;Информация не найдена;Солон-пресс:Библиотека студента;475;1 055;–55 %
Программирование. Сборник задач. Учебное пособие;Архипов;Лань:Учебники для вузов. Специальная литература;1 254;2 786;–55 %
Python. Книга Рецептов;Бизли;ДМК-Пресс:;2 090;4 644;–55 %
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи;Равичандиран Судхарсан;Питер:Библиотека программиста;1 359;1 742;–22 %
Грокаем глубокое обучение;Траск Эндрю;Питер:Библиотека программиста;1 101;1 411;–22 %
Практика реактивного программирования в SPRING 5;Докука;ДМК-Пресс:;1 741;3 869;–55 %
Как программировать на С;Дейтел;Бином:;913;2 028;–55 %
Нейросетевые методы в обработке естественного языка;Гольдберг Йоав;ДМК-Пресс:;1 393;3 095;–55 %
Предиктивное моделирование на практике;Кун;Питер:Для профессионалов;2 503;3 209;–22 %
Микросервисы. Паттерны разработки и рефакторинга;Ричардсон Крис;Питер:Библиотека программиста;2 028;2 600;–22 %
Системы счисления, алгоритмизация и программирование. Учебное пособие;Игнашева Елена Петровна;ИНФРА-М:Военное образование;957;2 126;–55 %
Объектно-ориентированное программирование. Учебник;Барков Игорь Александрович;Лань:Учебники для вузов. Специальная литература;2 654;5 898;–55 %
Практическое введение в программную инженерию. Учебное пособие;Волк Владимир Константинович;Лань:Учебники для вузов. Специальная литература;819;1 821;–55 %
Проектирование цифровых устройств на ПЛИС. Учебное пособие;Ушенина Инна Владимировна;Лань:Учебники для вузов. Специальная литература;1 425;3 167;–55 %
Введение в технологии контейнеров и Kubernetes;Маркелов Андрей Александрович;ДМК-Пресс:;696;1 547;–55 %
Логическое проектирование и верификация систем на SystemVerilog;Дональд Томас;ДМК-Пресс:;1 393;3 095;–55 %
HTML5 и CSS3 для чайников;Титтел;"Диалектика:Для ""чайников""";1 400;3 112;–55 %
C# для чайников;Мюллер;"Диалектика:Для ""чайников""";1 972;4 383;–55 %
Изучаем TypeScript 3;Розенталс Натан;ДМК-Пресс:;1 625;3 611;–55 %
Введение в веб-разработку на языке JavaScript. Учебное пособие;Государев Илья Борисович;Лань:Учебники для вузов. Специальная литература;972;2 160;–55 %
Программирование компьютерной графики;Боресков Алексей Викторович;ДМК-Пресс:;1 219;2 709;–55 %
Высокопроизводительный код на платформе .NET;Уотсон Бен;Питер:Для профессионалов;1 978;2 536;–22 %
Совершенный алгоритм. Графовые алгоритмы и структуры данных;Рафгарден Тим;Питер:Библиотека программиста;1 260;1 615;–22 %
{Вы не знаете JS} Асинхронная обработка и оптимизация;Симпсон Кайл;Питер:Бестселлеры O`Reilly;1 213;1 555;–22 %
Основы теории вейвлетов. Вейвлеты в Matlab;Смоленцев Николай Константинович;ДМК-Пресс:Все о вейвлетах;1 161;2 580;–55 %
Изучаем React;Чиннатамби Кирупа;Бомбора:Мировой компьютерный бестселлер;1 407;1 928;–27 %
Python для чайников;Мюллер Джон Пол;"Диалектика:Для ""чайников""";1 544;3 431;–55 %
Изучение сложных систем с помощью Python;Дауни Аллен Б.;ДМК-Пресс:;638;1 417;–55 %
Вероятностное программирование на Python. Байесовский вывод и алгоритмы;Дэвидсон-Пайлон Кэмерон;Питер:Библиотека программиста;1 764;2 262;–22 %
JavaScript для чайников;Минник;"Диалектика:Для ""чайников""";1 166;2 592;–55 %
Легкий способ выучить Python 3;Шоу Зед А.;Бомбора:Мировой компьютерный бестселлер;880;1 206;–27 %
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.;Ластер Брент;ДМК-Пресс:;1 811;4 024;–55 %
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов;Пай;ДМК-Пресс:;1 044;2 321;–55 %
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах;Коке;ДМК-Пресс:;2 613;5 807;–55 %
Unreal Engine VR для разработчиков;Маккефри Митч;Бомбора:Мировой компьютерный бестселлер;1 219;1 670;–27 %
Язык программирования Python. Практикум. Учебное пособие;Жуков Роман Александрович;ИНФРА-М:Высшее образование. Бакалавриат;1 066;2 368;–55 %
Django 2 в примерах;Меле Антонио;ДМК-Пресс:;1 161;2 580;–55 %
Глубокое обучение без математики. Том 1. Основы;Гласснер Эндрю;ДМК-Пресс:;1 974;4 386;–55 %
Программирование в среде Lazarus. Учебное пособие;Гуриков Сергей Ростиславович;Форум:Среднее профессиональное образование;1 826;4 057;–55 %
Введение в программную инженерию. Учебник;Антипов;ИНФРА-М:;1 318;2 929;–55 %
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов;Затонский;РИОР:Высшее образование;671;1 491;–55 %
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие;Лисьев;ИНФРА-М:Среднее профессиональное образование;702;1 559;–55 %
Технологии параллельного программирования. Учебное пособие;Лупин;Форум:Высшее образование;823;1 828;–55 %
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем;Паттанаяк Сантану;Вильямс:;1 789;3 976;–55 %
Введение в анализ алгоритмов;Солтис Майкл;ДМК-Пресс:;1 164;2 587;–55 %
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие;Бунаков;Форум:Среднее профессиональное образование;1 481;3 292;–55 %
Анализ вредоносных программ;Монаппа К. А.;ДМК-Пресс:;1 294;2 875;–55 %
Java. Библиотека профессионала. Том 1. Основы;Хорстманн Кей С.;Диалектика:;2 955;6 567;–55 %
JavaScript. Карманный справочник;Флэнаган Дэвид;Диалектика:;943;2 096;–55 %
Искусство программирования. Том 3. Сортировка и поиск;Кнут Дональд Эрвин;Диалектика:;4 544;10 097;–55 %
Применение UML 2.0 и шаблонов проектирования;Ларман Крэг;Диалектика:;4 544;10 097;–55 %
Программирование на Clojure;Эмерик;ДМК-Пресс:Функциональное программирование;1 552;3 449;–55 %
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0;Албахари;Вильямс:;934;2 075;–55 %
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID;Холл Гэри Маклин;Вильямс:;2 573;5 717;–55 %
Секреты JavaScript ниндзя;Резиг;Вильямс:;3 258;7 240;–55 %
Курс программирования на языке Си. Учебник;Подбельский;ДМК-Пресс:;776;1 724;–55 %
СУБД для программиста. Базы данных изнутри;Тарасов Сергей Витальевич;Солон-пресс:Библиотека профессионала;720;1 601;–55 %
Объектно-ориентированное программирование в С++;Лафоре Роберт;Питер:Классика computer science;1 888;2 421;–22 %
Язык программирования C++. Базовый курс;Липпман;Вильямс:;4 122;9 159;–55 %
Машинное обучение с использованием библиотеки Н2О;Кук Даррен;ДМК-Пресс:;929;2 064;–55 %
Программирование. Принципы и практика с использованием C++;Страуструп Бьярне;Вильямс:;4 968;11 040;–55 %
Создаем нейронную сеть;Рашид Тарик;Вильямс:;2 334;5 186;–55 %
Библиотека Keras - инструмент глубокого обучения;Джулли;ДМК-Пресс:;1 044;2 321;–55 %
Визуализация данных с помощью библиотеки D3.js 4.x;Рининсланд;ДМК-Пресс:;813;1 806;–55 %
Шаблоны корпоративных приложений;Фаулер Мартин;Диалектика:;3 858;8 574;–55 %
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач;Монк Саймон;Диалектика:;2 573;5 717;–55 %
JavaScript в примерах и задачах;Информация не найдена;Эксмо-Пресс:Российский компьютерный бестселлер;1 062;1 455;–27 %
Visual C# 2.0.NET. Полное руководство;Прайс;Корона-Принт:;450;1 001;–55 %
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем;Эванс Эрик;Вильямс:;4 968;11 040;–55 %
Язык программирования C++. Лекции и упражнения;Прата Стивен;Диалектика:;4 666;10 368;–55 %
C++ для чайников;Дэвис Стефан Рэнди;"Диалектика:Для ""чайников""";1 166;2 592;–55 %
Программирование командных оболочек в Unix, Linux и OS X;Кочан;Диалектика:;2 573;5 717;–55 %
Рефакторинг. Улучшение проекта существующего кода;Бек;Диалектика:;2 955;6 567;–55 %
Изучаем программирование на Python;Бэрри Пол;Эксмо:Мировой компьютерный бестселлер;1 590;2 178;–27 %
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL;Редмонд;ДМК-Пресс:;1 164;2 587;–55 %
Математическое программирование. Учебное пособие;Карманов Владимир Георгиевич;Физматлит:;352;783;–55 %
jQuery в действии;Бибо;Питер:Для профессионалов;1 348;1 728;–22 %
Шаблоны проектирования Node.JS;Касиаро;ДМК-Пресс:;1 099;2 443;–55 %
Разработка современных веб-приложений. Анализ предметных областей и технологий;Эспозито Дино;Вильямс:;1 945;4 322;–55 %
Vulkan. Руководство разработчика;Селлерс;ДМК-Пресс:;1 103;2 450;–55 %
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем;Карташов;ДМК-Пресс:;1 393;3 095;–55 %
Алгоритмы. Справочник с примерами на C, C++, Java и Python;Хайнеман;Вильямс:;2 573;5 717;–55 %
Изучаем JavaScript. Руководство по созданию современных веб-сайтов;Браун Этан;Вильямс:;1 789;3 976;–55 %
Изучаем OpenCV 3;Кэлер;ДМК-Пресс:;2 090;4 644;–55 %
Семь языков за семь недель. Практическое руководство по изучению языков программирования;Тейт Брюс;ДМК-Пресс:;753;1 674;–55 %
Flash MX для профессиональных программистов. Учебное пособие;Капустин;Просвещение/Бином:Основы информационных технологий;291;646;–55 %
Программирование на Java для начинающих;Васильев Алексей Николаевич;Эксмо-Пресс:Российский компьютерный бестселлер;1 062;1 455;–27 %
Javascript и jQuery. Интерактивная веб-разработка;Дакетт Джон;Эксмо:Мировой компьютерный бестселлер;2 165;2 966;–27 %
Предметно-ориентированное проектирование. Самое основное;Вернон Вон;Диалектика:;1 972;4 383;–55 %
Введение в Elixir. Введение в функциональное программирование;Сенлорен;ДМК-Пресс:;813;1 806;–55 %
Моделирование аукционов;Демешев Борис Борисович;ДМК-Пресс:;753;1 674;–55 %
Как самому написать мобильную 2D-игру;Язев Юрий Евгеньевич;Солон-пресс:Библиотека профессионала;712;1 583;–55 %
Python и машинное обучение;Рашка Себастьян;ДМК-Пресс:;1 741;3 869;–55 %
Проектирование пользовательского интерфейса в Android;Клифтон Ян;ДМК-Пресс:;1 161;2 580;–55 %
Программирование на C в примерах и задачах;Васильев Алексей Николаевич;Эксмо-Пресс:Российский компьютерный бестселлер;1 165;1 596;–27 %
Прикладная криптография. Протоколы, алгоритмы и исходный код на C;Шнайер Брюс;Диалектика:;6 210;13 800;–55 %
ASP.NET Core MVC с примерами на C# для профессионалов;Фримен Адам;Диалектика:;4 122;9 159;–55 %
Стек, или Путешествие туда и обратно;Вторников Алексей Анатольевич;ДМК-Пресс:;522;1 161;–55 %
Программирование на Visual Basic для начинающих;МакГрат Майк;Эксмо-Пресс:Программирование для начинающих (обложка);650;890;–27 %
Реактивное программирование с использованием RxJava;Нуркевич;ДМК-Пресс:;1 103;2 450;–55 %
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов;Скляр Дэвид;Диалектика:;2 334;5 186;–55 %
Не заставляйте меня думать. Веб-юзабилити и здравый смысл;Круг Стив;Эксмо-Пресс:Мировой компьютерный бестселлер;856;1 172;–27 %
Go на практике;Батчер;ДМК-Пресс:;1 044;2 321;–55 %
Использование Docker;Моуэт Эдриен;ДМК-Пресс:;1 103;2 450;–55 %
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB;Плохотников Константин Эдуардович;Солон-пресс:;1 084;2 409;–55 %
Гибкая разработка программ на Java и C++. Принципы, паттерны и методики;Мартин Роберт С.;Диалектика:;4 968;11 040;–55 %
Цифровая обработка сигналов на языке Python;Дауни Аллен Б.;ДМК-Пресс:;466;1 035;–55 %
Эффективная работа с унаследованным кодом;Физерс Майкл К.;Вильямс:;3 258;7 240;–55 %
Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий;Хамбл;Вильямс:;3 858;8 574;–55 %
Программирование на C++ в примерах и задачах;Васильев Алексей Николаевич;Эксмо-Пресс:Российский компьютерный бестселлер;760;1 041;–27 %
Cassandra. Полное руководство;Карпентер;ДМК-Пресс:;1 103;2 450;–55 %
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения;Будума Нихиль;Манн, Иванов и Фербер:;1 800;2 466;–27 %
Алгоритмы. Вводный курс;Кормен Томас;Вильямс:;1 286;2 858;–55 %
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений;Пошевай Майа;ДМК-Пресс:;1 161;2 580;–55 %
Глубокое обучение для поисковых систем;Теофили Томмазо;ДМК-Пресс:;1 161;2 580;–55 %
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М:Высшее образование. Бакалавриат;1 517;3 370;–55 %
HTML и CSS. Разработка и дизайн веб-сайтов;Дакетт Джон;Эксмо:Мировой компьютерный бестселлер;1 818;2 491;–27 %
Байесовский анализ на Python;Мартин Освальдо;ДМК-Пресс:;1 044;2 321;–55 %
Состязательные сети. Проекты;Ахирвар Кайлаш;ДМК-Пресс:;1 044;2 321;–55 %
Основы программирования на языке С. Учебное пособие;Дорогов;Форум:Среднее профессиональное образование;898;1 996;–55 %
Программирование на языке Си. Учебное пособие;Кузин;Форум:Среднее профессиональное образование;747;1 659;–55 %
Разработка мобильных приложений на C# для iOS и Android;Черников Вячеслав;ДМК-Пресс:;929;2 064;–55 %
C. Полное руководство. Классическое издание;Шилдт Герберт;Диалектика:;3 500;7 778;–55 %
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки;Де Йонге Дерек;ДМК-Пресс:;696;1 547;–55 %
Как стать хакером;Притяну Эдриан;ДМК-Пресс:;1 161;2 580;–55 %
Шаблоны проектирования для облачной среды;Дэвис Корнелия;ДМК-Пресс:;1 393;3 095;–55 %
SQL для чайников;Тейлор Аллен Дж.;"Диалектика:Для ""чайников""";1 400;3 112;–55 %
Введение в архитектуру программного обеспечения. Учебное пособие;Гагарина;Форум:Среднее профессиональное образование;1 341;2 981;–55 %
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей;Форд Мартин;Питер:Библиотека программиста;1 144;1 467;–22 %
Глубокое обучение и игра в го;Памперла;ДМК-Пресс:;1 509;3 354;–55 %
Разработка игр на Unreal Engine 4 за 24 часа;Куксон;Бомбора:Мировой компьютерный бестселлер;2 135;2 925;–27 %
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань:Учебники для вузов. Специальная литература;707;1 572;–55 %
Квантовые вычисления для настоящих айтишников;Бернхард Крис;Питер:Библиотека программиста;1 160;1 487;–22 %
1400 задач по программированию;Златопольский Дмитрий Михайлович;ДМК-Пресс:;466;1 035;–55 %
Бессерверные приложения на JavaScipt;Стоянович;ДМК-Пресс:;1 335;2 966;–55 %
Head First. Kotlin;Гриффитс;Питер:Head First (O'Reilly);2 419;3 101;–22 %
Алгоритмы и программы. Язык С++. Учебное пособие;Конова;Лань:Учебники для вузов. Специальная литература;1 176;2 613;–55 %
Программирование в среде Delphi. Создание проектов. Учебное пособие;Саблукова Наталья Геннадьевна;Лань:Учебники для вузов. Специальная литература;209;464;–55 %
Программирование в среде Delphi. Основные команды. Первые проекты;Саблукова Наталья Геннадьевна;Лань:Учебники для вузов. Специальная литература;329;732;–55 %
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М:Среднее профессиональное образование;2 322;5 159;–55 %
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики;Дьяконов;Солон-пресс:Библиотека профессионала;1 034;2 297;–55 %
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;224;498;–55 %
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;353;784;–55 %
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;147;327;–55 %
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;353;784;–55 %
Компьютерный анализ четырехполюсников с помощью MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;496;1 103;–55 %
Компьютерный анализ четырехполюсников с помощью MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;197;438;–55 %
Компьютерный спектральный анализ сигналов с помощью MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;413;918;–55 %
Компьютерный спектральный анализ сигналов с помощью MATLAB;Информация не найдена;Солон-пресс:Библиотека студента;186;414;–55 %
VHDL. Справочное пособие по основам языка;Бабак;ДМК-Пресс:Программируемые системы;580;1 289;–55 %
Глубокое обучение в биологии и медицине;Рамсундар;ДМК-Пресс:;813;1 806;–55 %
Современный язык Java. Лямбда-выражения, потоки и функциональное программирование;Урма;Питер:Для профессионалов;2 103;2 696;–22 %
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие;Немцова;Форум:Высшее образование: Бакалавриат;1 971;4 381;–55 %
Математическое программирование. Учебное пособие;Ржевский Сергей Владимирович;Лань:Учебники для вузов. Специальная литература;1 706;3 791;–55 %
Практика нейросетевого моделирования. Учебное пособие;Хливненко;Лань:Учебники для вузов. Специальная литература;1 119;2 487;–55 %
Python и анализ данных;Маккини Уэс;ДМК-Пресс:;1 746;3 881;–55 %
Алгоритмы эволюционной оптимизации;Саймон Дэн;ДМК-Пресс:;2 587;5 749;–55 %
Прикладные задачи оптимизации. Модели, методы, алгоритмы;Струченков Валерий Иванович;Солон-пресс:Библиотека профессионала;523;1 163;–55 %
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта;Шумский Сергей Александрович;РИОР:Наука и практика;1 517;3 370;–55 %
C#. Программирование 2D и 3D векторной графики (+CD);Тюкачев;Лань:Учебники для вузов. Специальная литература;1 374;3 053;–55 %
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие;Диков Андрей Валентинович;Лань:Учебники для вузов. Специальная литература;996;2 214;–55 %
Технология разработки программного обеспечения. Учебное пособие;Зубкова Татьяна Михайловна;Лань:Учебники для вузов. Специальная литература;1 423;3 162;–55 %
C++ за 21 день;Рао Сиддхартха;Диалектика:;3 258;7 240;–55 %
Docker на практике;Миллан;ДМК-Пресс:;2 070;4 600;–55 %
Swift подробно;Чейрд Инт Вейн;ДМК-Пресс:;1 684;3 742;–55 %
Оптимизация программ на C++. Проверенные методы повышения производительности;Гантерот Курт;Диалектика:;2 573;5 717;–55 %
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие;Герман-Галкин Сергей Германович;Корона-Принт:Учебное пособие;251;558;–55 %
Идиомы и паттерны проектирования в современном С++;Пикус Федор Г.;ДМК-Пресс:;1 422;3 161;–55 %
Основы тестирования и верификации программного обеспечения;Старолетов Сергей Михайлович;Лань:Учебники для вузов. Специальная литература;1 730;3 844;–55 %
Изучаем Python. Том 1;Лутц Марк;Диалектика:;3 258;7 240;–55 %
Mathematica 5/6/7. Полное руководство;Дьяконов Владимир Павлович;ДМК-Пресс:Математика и Matlab;1 044;2 321;–55 %
Git для профессионального программиста;Чакон;Питер:Библиотека программиста;1 428;1 831;–22 %
C++. Базовый курс;Шилдт Герберт;Вильямс:;2 573;5 717;–55 %
Моделирование объектов управления в MatLab. Учебное пособие;Затонский;Лань:Учебники для вузов. Специальная литература;890;1 978;–55 %
Основы алгоритмизации и программирования (ОП.04). Практикум;Серкова Екатерина Геннадьевна;Феникс:Среднее профессиональное образование;589;;
Компиляторы. Принципы, технологии и инструментарий;Ахо;Диалектика:;6 210;13 800;–55 %
Архитектура вычислительных систем и Ассемблер;Гагарина;Солон-пресс:Библиотека студента;639;1 421;–55 %
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие;Милорадов;РИОР:Высшее образование;481;1 069;–55 %
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие;Милорадов;РИОР:Среднее профессиональное образование;549;1 219;–55 %
Java. Эффективное программирование;Блох Джошуа;Вильямс:;2 955;6 567;–55 %
Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5;Никсон Робин;Питер:Бестселлеры O`Reilly;2 536;3 251;–22 %
Kubernetes в действии;Лукша Марко;ДМК-Пресс:;2 070;4 600;–55 %
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14;Мейерс Скотт;Диалектика:;2 573;5 717;–55 %
Изучаем регулярные выражения;Форта Бен;Вильямс:;1 030;2 288;–55 %
Пользовательские истории. Гибкая разработка программного обеспечения;Кон Майк;Диалектика:;2 334;5 186;–55 %
Python. Экспресс-курс;Седер Наоми;Питер:Библиотека программиста;1 885;2 417;–22 %
Архитектура компьютера;Таненбаум;Питер:Классика computer science;2 028;2 600;–22 %
Java. Руководство для начинающих;Шилдт Герберт;Диалектика:;2 955;6 567;–55 %
Алгоритмы. Построение и анализ;Кормен;Диалектика:;7 453;16 562;–55 %
Изучай Erlang во имя добра!;Хеберт Фред;ДМК-Пресс:;1 044;2 321;–55 %
Программируй на Haskell;Курт Уилл;ДМК-Пресс:Функциональное программирование;1 811;4 024;–55 %
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник";Дадян Эдуард Григорьевич;ИНФРА-М:Высшее образование. Магистратура;2 144;4 765;–55 %
Алгоритмы на C++;Седжвик Роберт;Вильямс:;4 666;10 368;–55 %
Теоретический минимум по Big Data. Всё что нужно знать о больших данных;Ын;Питер:Библиотека программиста;898;1 151;–22 %
Основы программирования на языке Python;Златопольский Дмитрий Михайлович;ДМК-Пресс:;696;1 547;–55 %
Методы научных исследований в программной инженерии;Пантелеев Евгений Рафаилович;Лань:Учебники для вузов. Специальная литература;556;1 236;–55 %
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие;Симонова Елена Витальевна;Лань:Учебники для вузов. Специальная литература;725;1 612;–55 %
Программируем на Python;Доусон Майкл;Питер:;1 258;1 613;–22 %
HTML5. Карманный справочник;Роббинс Дженнифер;Вильямс:;1 030;2 288;–55 %
