Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Искусство тестирования программ;Сандлер;Диалектика:;2 573;5 717;–55 %
Прикладное программирование. Учебное пособие;Никифоров Сергей Николаевич;Лань:Среднее профессиональное образование;467;1 038;–55 %
Алгоритмы оптимизации;Кохендерфер;Вильямс:;3 858;8 574;–55 %
Мифический человеко-месяц, или Как создаются программные системы;Брукс Фредерик;Питер:Библиотека программиста;1 567;2 009;–22 %
Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени;Полухин Антон;ДМК-Пресс:;1 161;2 580;–55 %
Введение в язык Pascal. Учебное пособие;Абрамов;Кнорус:Среднее профессиональное образование;884;1 965;–55 %
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода;Химено-Сеговиа;Питер:Бестселлеры O`Reilly;1 634;2 095;–22 %
Разработка и реализац.портальн.решений: Практикум;Лукьянов;Прометей:;454;1 008;–55 %
Транспортная логистика (линейное программирование). Учебное пособие;Пашков Николай Николаевич;Прометей:;518;1 152;–55 %
Генетические алгоритмы на Python;Вирсански Эйял;ДМК-Пресс:;1 393;3 095;–55 %
C#. Основы программирования. Учебное пособие;Тюкачев;Лань:Учебники для вузов. Специальная литература;1 477;3 283;–55 %
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань:Учебники для вузов. Специальная литература;569;1 264;–55 %
Обработка естественного языка в действии;Хобсон;Питер:Для профессионалов;2 781;3 565;–22 %
Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go;Цукалос Михалис;Питер:Для профессионалов;4 058;5 203;–22 %
Эффективный TypeScript. 62 способа улучшить код;Вандеркам Дэн;Питер:Бестселлеры O`Reilly;1 572;2 016;–22 %
Istio. Приступаем к работе;Калькот;ДМК-Пресс:;1 161;2 580;–55 %
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям;Граймс Роджер А.;ДМК-Пресс:;1 044;2 321;–55 %
Проектирование веб-API;Лоре Арно;ДМК-Пресс:;1 277;2 837;–55 %
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту;Крон;Питер:Библиотека программиста;1 558;1 998;–22 %
Глубокое обучение с подкреплением. AlphaGo и другие технологии;Лапань Максим;Питер:Для профессионалов;2 469;3 166;–22 %
Spring Boot 2. Лучшие практики для профессионалов;Гутьеррес Фелипе;Питер:Библиотека программиста;2 594;3 325;–22 %
Python. Искусственный интеллект, большие данные и облачные вычисления;Дейтел;Питер:Для профессионалов;3 146;4 033;–22 %
Эволюционные нейросети на языке Python;Омельяненко Ярослав;ДМК-Пресс:;1 161;2 580;–55 %
Алгоритмы обучения с подкреплением на Python;Лонца Андреа;ДМК-Пресс:;1 393;3 095;–55 %
Цифровой синтез. Практический курс;Романов;ДМК-Пресс:;1 625;3 611;–55 %
Системное программирование. Лабораторные работы. Учебное пособие;Жулабова Фатима Тахировна;Лань:Учебники для вузов. Специальная литература;691;1 535;–55 %
Программист-прагматик;Томас;Диалектика:;2 573;5 717;–55 %
Учимся программировать с примерами на Python;Фримен Эрик;Диалектика:Head First;2 573;5 717;–55 %
Параллельное программирование на C++ с помощью библиотеки TBB;Восс;ДМК-Пресс:;1 741;3 869;–55 %
Предметно-ориентированное проектирование в Enterprise Java;Наир Виджей;ДМК-Пресс:;1 161;2 580;–55 %
Генеративное глубокое обучение. Творческий потенциал нейронных сетей;Фостер Дэвид;Питер:Бестселлеры O`Reilly;2 086;2 674;–22 %
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;Феррари;ДМК-Пресс:;1 219;2 709;–55 %
Распределенные системы реального времени. Теория и практика;Эрджиес Кайхан;ДМК-Пресс:;1 393;3 095;–55 %
Программирование на Python. Базовый курс;Седжвик;Вильямс:;1 972;4 383;–55 %
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;Льюис;ДМК-Пресс:;1 161;2 580;–55 %
Паттерны объектно-ориентированного проектирования;Гамма;Питер:Библиотека программиста;943;1 209;–22 %
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1;Фриск;Солон-пресс:Библиотека студента;697;1 549;–55 %
Управление памятью в .NET для профессионалов;Кокоса Конрад;ДМК-Пресс:;2 653;5 895;–55 %
Исследование операций и методы оптимизации. Учебное пособие;Болотский;Лань:Учебники для вузов. Специальная литература;320;710;–55 %
Веб-компоненты в действии;Фаррелл Бен;ДМК-Пресс:;1 277;2 837;–55 %
Машинное обучение на R: экспертные техники для прогностического анализа;Ланц Бретт;Питер:Библиотека программиста;2 669;3 422;–22 %
Head First. Изучаем Go;Макгаврен Джей;Питер:Head First (O'Reilly);2 942;3 772;–22 %
Глубокое обучение. Погружение в мир нейронных сетей;Николенко;Питер:Библиотека программиста;1 424;1 826;–22 %
Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;ДМК-Пресс:;1 161;2 580;–55 %
Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;Питер:Библиотека программиста;2 560;3 282;–22 %
Python. Лучшие практики и инструменты;Яворски;Питер:Библиотека программиста;2 661;3 411;–22 %
C# 9.0. Карманный справочник;Албахари;Диалектика:;1 286;2 858;–55 %
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко;Лань:Компьютеры и программное обеспечение;1 886;4 191;–55 %
Обработка естественного языка. Python и spaCy на практике;Васильев Юрий;Питер:Библиотека программиста;1 424;1 826;–22 %
Python для финансовых расчетов;Хилпиш Ив;Диалектика:Самоучитель;6 210;13 800;–55 %
Разработка и анализ компьютерных алгоритмов;Ахо;Вильямс:;1 972;4 383;–55 %
Научное программирование на Python;Хилл Кристиан;ДМК-Пресс:;2 070;4 600;–55 %
C#. Алгоритмы и структуры данных (+CD). СПО;Тюкачев;Лань:Компьютеры и программное обеспечение;1 224;2 719;–55 %
C#. Программирование 2D и 3D векторной графики +CD. СПО;Тюкачев;Лань:Компьютеры и программное обеспечение;1 418;3 152;–55 %
Алгоритмизация и программирование. Практикум. СПО;Андрианова Анастасия Александровна;Лань:Компьютеры и программное обеспечение;1 007;2 237;–55 %
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows;Заяц;Лань:Компьютеры и программное обеспечение;1 121;2 492;–55 %
Построение распределенных систем на базе WebSocket. Учебное пособие;Хабаров;Лань:Компьютеры и программное обеспечение;1 057;2 348;–55 %
Практическое введение в язык программирования Си. СПО;Солдатенко;Лань:Компьютеры и программное обеспечение;716;1 591;–55 %
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО;Заяц;Лань:Компьютеры и программное обеспечение;737;1 638;–55 %
Простой Python для опытных программистов;Гаско Рик;Солон-пресс:Программирование;581;1 290;–55 %
Профессиональная разработка на Python;Уилкс Мэттью;ДМК-Пресс:;1 974;4 386;–55 %
Программируй & типизируй;Ришкуция Влад;Питер:Библиотека программиста;2 053;2 632;–22 %
Основы Python. Научитесь мыслить как программист;Дауни Аллен Б.;Манн, Иванов и Фербер:;1 234;1 691;–27 %
SimInTech. Преобразователи автономных источников электроэнергии;Калачёв;ДМК-Пресс:;870;1 934;–55 %
JavaScript. Готовые программы. Учебное пособие;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;943;2 096;–55 %
JavaScript. Готовые программы. СПО;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;972;2 159;–55 %
TypeScript быстро;Файн;Питер:Для профессионалов;2 288;2 933;–22 %
C# 8 и .NET Core. Разработка и оптимизация;Прайс Марк Дж.;Питер:Для профессионалов;3 294;4 223;–22 %
